65108,5854,74339,1319,1.1266e+05,25238,10623,28888,2.2177e+05,19662,1.1082e+05,2900,49566,12772,46708,15307,1.2524e+05,23676,42568,4241,17078
65113,6010,74904,1300,1.0854e+05,25141,10631,27802,2.2334e+05,19823,1.1002e+05,2849,49134,12759,46428,14446,1.2283e+05,24088,42151,4202,16855
66251,5951,75123,1322,1.0421e+05,24426,10615,27357,2.2647e+05,19748,1.1159e+05,2840,49250,12713,48035,14352,1.234e+05,24050,42107,4645,17064
62512,5955,75364,1326,1.0251e+05,23823,11344,28134,2.2006e+05,18832,1.1422e+05,2854,49134,12694,47503,14283,1.2339e+05,23889,42232,4809,17054
28250,5987,76606,1334,99509,23651,12446,28180,2.2242e+05,18054,1.1163e+05,2969,49924,12710,48026,14399,1.2455e+05,25309,42730,5068,17396
28900,6072,77587,1002,97345,23654,13470,28918,2.2367e+05,17835,1.1205e+05,2937,50966,12821,49075,14398,1.2374e+05,26447,42930,5178,17482
29604,6194,78755,924,95819,24192,14335,29376,2.2432e+05,17676,1.1549e+05,3007,51904,13130,50477,13429,1.2308e+05,27881,43039,5235,17754
30744,6543,80152,946,97026,24514,15048,30275,2.2819e+05,17868,1.1579e+05,3003,52744,13437,51527,13623,1.229e+05,28820,43334,5182,17839
30680,6689,81410,946,94469,24792,15431,30095,2.301e+05,18003,1.1672e+05,2918,52812,13518,51690,14172,1.2323e+05,29205,43483,5202,17677
32486,6754,84537,992,98235,25661,16816,30540,2.334e+05,18600,1.199e+05,3018,55118,13572,54421,14388,1.2727e+05,32218,44373,5460,18373
33427,6779,87416,1042,98457,26118,18003,32604,2.2758e+05,19005,1.2483e+05,3133,57002,13700,56375,14162,1.3006e+05,34652,45445,5618,18768
35043,6868,92101,1105,99641,26896,19315,33991,2.3182e+05,19593,1.2774e+05,3325,60667,13870,58748,14507,1.341e+05,37245,46540,5723,19390
36676,6966,96493,1125,1.019e+05,27431,20298,35876,2.3372e+05,20072,1.3181e+05,3354,63811,14020,60514,15192,1.3839e+05,39778,47207,5719,19871
38170,7273,99911,1147,1.0481e+05,28029,20843,37644,2.3317e+05,20655,1.3626e+05,3457,65378,14771,62301,15528,1.4225e+05,41732,48014,5776,20412
39696,7620,1.0249e+05,1184,1.0673e+05,28718,20934,39347,2.3686e+05,21206,1.3884e+05,3473,66408,15652,63402,16316,1.465e+05,42704,48577,5628,20553
39109,7764,1.0408e+05,1166,1.0493e+05,28954,20982,39102,2.3849e+05,21524,1.3915e+05,3439,66301,15717,64568,16212,1.4587e+05,43061,48738,5599,20526
41238,7809,1.0795e+05,1130,1.0895e+05,29467,21066,39853,2.3779e+05,22139,1.4155e+05,3470,68136,16364,66165,16225,1.5025e+05,44575,49327,5884,21271
42749,7853,1.1036e+05,1066,1.0913e+05,29646,21455,42654,2.3941e+05,22733,1.4789e+05,3608,69600,16989,67530,16784,1.5319e+05,46377,50034,6072,21763
44338,8010,1.1316e+05,1093,1.1123e+05,29744,21556,44228,2.349e+05,23311,1.5124e+05,3778,73374,17476,69326,17230,1.5535e+05,47314,50843,6265,22039
32870,7937,1.1527e+05,1117,1.1218e+05,29910,21551,46002,2.3339e+05,23677,1.5339e+05,3840,74471,17584,70714,17459,1.5729e+05,48128,51017,6213,22276
34294,7895,1.1633e+05,1161,1.1547e+05,29929,21054,46862,2.2867e+05,24124,1.5322e+05,3938,75807,17404,71499,17192,1.6135e+05,48427,51036,6161,22557
35806,8255,1.1581e+05,1203,1.193e+05,30375,20139,48081,2.2916e+05,24552,1.543e+05,3928,75870,17315,72034,16460,1.6223e+05,47913,51256,6075,22830
35831,8335,1.1633e+05,1164,1.1711e+05,30515,19971,47331,2.2602e+05,24741,1.5359e+05,3943,75421,17421,72745,15723,1.6162e+05,46914,51073,6042,22228
38189,8375,1.1692e+05,1189,1.19e+05,30889,19479,48618,2.2551e+05,24575,1.5442e+05,4010,76482,17468,74179,16133,1.6183e+05,48781,51666,6143,23029
39250,7630,1.177e+05,1191,1.2203e+05,30512,19459,50535,2.2497e+05,24958,1.61e+05,4118,78194,17700,74785,15252,1.6362e+05,47688,52347,6167,23708
40346,7404,1.186e+05,1214,1.2499e+05,30663,19204,51695,2.0879e+05,25230,1.5892e+05,4248,81073,17858,74962,14814,1.6561e+05,48759,53137,6183,23357
41381,7607,1.1886e+05,1213,1.2757e+05,30691,19024,56422,1.874e+05,25667,1.6056e+05,4190,81641,17886,76443,14235,1.675e+05,48953,53472,6736,24040
42333,7936,1.1811e+05,1270,1.3003e+05,30727,18506,54187,1.8624e+05,25892,1.6364e+05,4176,82106,17847,77284,13936,1.6985e+05,49559,53531,6471,23996
43273,8285,1.1664e+05,1250,1.2971e+05,31008,17653,54908,1.8706e+05,26159,1.6665e+05,4135,81809,17621,77866,13498,1.7203e+05,50681,53958,6114,23696
42680,8391,1.1641e+05,1200,1.2763e+05,30872,17348,53910,1.8695e+05,26402,1.6558e+05,4094,81043,17479,78668,13250,1.7065e+05,48807,53852,5777,23309
42625,8068,1.1466e+05,1125,1.3322e+05,30437,16607,54197,1.8662e+05,26574,1.6204e+05,3942,80109,17154,79972,12606,1.6963e+05,49928,54472,6276,24141
42680,8196,1.1335e+05,1123,1.3561e+05,30297,16367,56356,1.8372e+05,26700,1.6603e+05,4016,80128,17344,80216,12432,1.653e+05,49301,55103,5805,23782
42707,8270,1.1254e+05,1164,1.3796e+05,30084,16073,56795,1.5887e+05,26789,1.6483e+05,4133,82092,17539,80006,11489,1.6586e+05,50025,55919,5747,24170
42518,8309,1.1131e+05,1184,1.3745e+05,30392,15802,57778,1.5717e+05,26718,1.6744e+05,4192,79901,17517,80455,11216,1.6396e+05,50181,56217,5703,24190
43749,8029,1.0919e+05,1189,1.3785e+05,30372,15219,58512,1.4986e+05,26719,1.6447e+05,4210,79767,17418,81194,10860,1.6334e+05,49684,56346,5434,24449
44594,8215,1.0784e+05,1246,1.4072e+05,30523,14512,58593,1.5037e+05,26851,1.6698e+05,4202,79273,17345,81631,10804,1.647e+05,51364,56593,5092,25117
43626,8375,1.0785e+05,1201,1.3902e+05,30718,14528,57085,1.4798e+05,26765,1.6547e+05,4144,78469,17273,82072,10596,1.6016e+05,51959,56115,4775,24577
44918,8121,1.0526e+05,1247,1.4133e+05,30559,13872,56778,1.4831e+05,26567,1.6227e+05,4098,77548,17346,83063,10177,1.6006e+05,50168,56786,5342,24926
45027,7955,1.0424e+05,1275,1.4208e+05,29869,13920,58963,1.4243e+05,26492,1.6526e+05,4123,77796,17647,83734,10173,1.5998e+05,49995,57601,4931,24377
45589,7906,1.0327e+05,1324,1.4281e+05,29658,13668,59349,1.4039e+05,26500,1.6567e+05,4202,78515,17585,84066,9892,1.5916e+05,49908,58531,4953,24720
45526,7866,1.0257e+05,1341,1.4274e+05,30215,13438,59520,1.3524e+05,26544,1.6197e+05,4154,78010,17562,84591,10124,1.5859e+05,50345,58857,4921,24802
46575,7916,1.0129e+05,1392,1.4314e+05,30112,13058,59919,1.322e+05,26577,1.6688e+05,4103,77424,17243,84139,9443,1.5921e+05,51754,59160,4758,25046
47380,8295,1.0074e+05,1402,1.4589e+05,30136,12518,59774,1.3162e+05,26849,1.6808e+05,3994,76279,17004,83260,9277,1.6139e+05,53273,59681,4499,24690
47920,8400,1.0128e+05,1388,1.4727e+05,30204,12636,57453,1.3219e+05,26947,1.602e+05,3937,75610,16952,82994,8849,1.6178e+05,52830,59712,4221,24077
47380,8602,1.0167e+05,1372,1.471e+05,29945,12339,55197,1.3379e+05,27176,1.5902e+05,3862,74012,16476,82711,8519,1.6178e+05,49770,59345,4181,24042
49731,8608,1.0142e+05,1458,1.4952e+05,30206,11987,55940,1.2755e+05,27398,1.604e+05,3701,72608,16180,84574,8109,1.5797e+05,49689,60495,4628,24732
49804,8745,1.0244e+05,1407,1.5378e+05,29872,12301,58521,1.2363e+05,27800,1.6571e+05,3840,74045,17080,84840,7435,1.6113e+05,50170,61536,4480,24250
50599,8677,1.0358e+05,1413,1.5418e+05,29971,12547,58597,1.2004e+05,28016,1.5885e+05,3916,75103,17325,85817,8017,1.6434e+05,50973,62421,4524,24226
52235,8550,1.0434e+05,1462,1.5623e+05,30237,12846,58731,1.1727e+05,28260,1.602e+05,3894,75318,17479,85893,7728,1.6726e+05,52729,62665,4415,24493
53282,8745,1.0464e+05,1436,1.5885e+05,30848,12547,59325,1.2055e+05,28655,1.6008e+05,3855,74687,17336,85912,7180,1.707e+05,53981,63089,4170,24286
53533,8893,1.0538e+05,1445,1.5833e+05,30932,12647,57830,1.2119e+05,28797,1.5741e+05,3846,74321,17565,85975,7010,1.7238e+05,54032,63259,3933,23886
